Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3(),Raw power(),Power Percent(%)()
 19:44:24.325,e8:da:bf:c6:3e:4f, 2015-01-01 01:02:23.740, 0.01, 0.007, -0.981, 0, 0, -0.183, , , , , , , 179.769, -0.791, -129.139, -78.300, 13.100, -69.807, 20.44, 0.00638, 0.42935, -0.90305, -0.00119, 405, 100,
 19:44:24.325,e8:da:bf:c6:3e:4f, 2015-01-01 01:02:23.740, 0.01, 0.007, -0.981, 0, 0, -0.183, , , , , , , 179.769, -0.791, -129.139, -78.300, 13.100, -69.807, 20.44, 0.00638, 0.42935, -0.90305, -0.00119, 405, 100,
 19:44:24.325,e8:da:bf:c6:3e:4f, 2015-01-01 01:02:23.740, 0.01, 0.007, -0.98, 0, 0, -0.183, , , , , , , 179.769, -0.791, -129.139, -78.300, 13.100, -69.807, 20.44, 0.00638, 0.42935, -0.90305, -0.00119, 405, 100,
 19:44:24.325,e8:da:bf:c6:3e:4f, 2015-01-01 01:02:23.740, 0.011, 0.007, -0.981, 0, 0, -0.183, , , , , , , 179.769, -0.791, -129.139, -78.300, 13.100, -69.807, 20.44, 0.00638, 0.42935, -0.90305, -0.00119, 405, 100,
 19:44:24.325,e8:da:bf:c6:3e:4f, 2015-01-01 01:02:23.740, 0.01, 0.007, -0.981, 0, 0, -0.183, , , , , , , 179.769, -0.791, -129.139, -78.300, 13.100, -69.807, 20.44, 0.00638, 0.42935, -0.90305, -0.00119, 405, 100,
 19:44:24.326,e8:da:bf:c6:3e:4f, 2015-01-01 01:02:23.740, 0.008, 0.007, -0.981, 0, 0, -0.183, , , , , , , 179.769, -0.791, -129.139, -78.300, 13.100, -69.807, 20.44, 0.00638, 0.42935, -0.90305, -0.00119, 405, 100,
 19:44:24.326,e8:da:bf:c6:3e:4f, 2015-01-01 01:02:23.740, 0.01, 0.007, -0.981, 0, 0, -0.122, , , , , , , 179.769, -0.791, -129.139, -78.300, 13.100, -69.807, 20.44, 0.00638, 0.42935, -0.90305, -0.00119, 405, 100,
 19:44:24.326,e8:da:bf:c6:3e:4f, 2015-01-01 01:02:23.740, 0.01, 0.007, -0.981, 0, 0, -0.122, , , , , , , 179.769, -0.791, -129.139, -78.300, 13.100, -69.807, 20.44, 0.00638, 0.42935, -0.90305, -0.00119, 405, 100,
 19:44:24.412,e8:da:bf:c6:3e:4f, 2015-01-01 01:02:23.740, 0.01, 0.007, -0.98, 0, 0, -0.183, , , , , , , 179.769, -0.791, -129.139, -78.300, 13.100, -69.807, 20.44, 0.00638, 0.42935, -0.90305, -0.00119, 405, 100,
 19:44:24.413,e8:da:bf:c6:3e:4f, 2015-01-01 01:02:23.740, 0.011, 0.007, -0.981, 0, 0, -0.183, , , , , , , 179.769, -0.791, -129.139, -78.300, 13.100, -69.807, 20.44, 0.00638, 0.42935, -0.90305, -0.00119, 405, 100,
 19:44:24.413,e8:da:bf:c6:3e:4f, 2015-01-01 01:02:23.740, 0.01, 0.007, -0.981, 0, 0, -0.183, , , , , , , 179.769, -0.791, -129.139, -78.300, 13.100, -69.807, 20.44, 0.00638, 0.42935, -0.90305, -0.00119, 405, 100,
 19:44:24.413,e8:da:bf:c6:3e:4f, 2015-01-01 01:02:23.740, 0.011, 0.007, -0.98, 0, 0, -0.183, , , , , , , 179.769, -0.791, -129.139, -78.300, 13.100, -69.807, 20.44, 0.00638, 0.42935, -0.90305, -0.00119, 405, 100,
 19:44:24.438,e8:da:bf:c6:3e:4f, 2015-01-01 01:02:23.740, 0.01, 0.007, -0.981, 0, 0, -0.183, , , , , , , 179.769, -0.791, -129.139, -78.300, 13.100, -69.807, 20.44, 0.00638, 0.42935, -0.90305, -0.00119, 405, 100,
 19:44:24.439,e8:da:bf:c6:3e:4f, 2015-01-01 01:02:23.740, 0.009, 0.007, -0.981, 0, 0, -0.183, , , , , , , 179.769, -0.791, -129.139, -78.300, 13.100, -69.807, 20.44, 0.00638, 0.42935, -0.90305, -0.00119, 405, 100,
 19:44:24.439,e8:da:bf:c6:3e:4f, 2015-01-01 01:02:23.740, 0.01, 0.007, -0.981, 0, 0, -0.183, , , , , , , 179.769, -0.791, -129.139, -78.300, 13.100, -69.807, 20.44, 0.00638, 0.42935, -0.90305, -0.00119, 405, 100,
 19:44:24.439,e8:da:bf:c6:3e:4f, 2015-01-01 01:02:23.740, 0.01, 0.007, -0.98, 0, -0.061, -0.183, , , , , , , 179.769, -0.791, -129.139, -78.300, 13.100, -69.807, 20.44, 0.00638, 0.42935, -0.90305, -0.00119, 405, 100,
 19:44:24.482,e8:da:bf:c6:3e:4f, 2015-01-01 01:02:23.740, 0.009, 0.007, -0.98, 0, 0, -0.183, , , , , , , 179.769, -0.791, -129.139, -78.300, 13.100, -69.807, 20.44, 0.00638, 0.42935, -0.90305, -0.00119, 405, 100,
 19:44:24.482,e8:da:bf:c6:3e:4f, 2015-01-01 01:02:23.740, 0.01, 0.007, -0.98, 0, 0, -0.183, , , , , , , 179.769, -0.791, -129.139, -78.300, 13.100, -69.807, 20.44, 0.00638, 0.42935, -0.90305, -0.00119, 405, 100,
 19:44:24.482,e8:da:bf:c6:3e:4f, 2015-01-01 01:02:23.740, 0.01, 0.007, -0.981, 0, 0, -0.183, , , , , , , 179.769, -0.791, -129.139, -78.300, 13.100, -69.807, 20.44, 0.00638, 0.42935, -0.90305, -0.00119, 405, 100,
 19:44:24.483,e8:da:bf:c6:3e:4f, 2015-01-01 01:02:23.740, 0.01, 0.007, -0.981, 0, 0, -0.183, , , , , , , 179.769, -0.791, -129.139, -78.300, 13.100, -69.807, 20.44, 0.00638, 0.42935, -0.90305, -0.00119, 405, 100,
 19:44:24.516,e8:da:bf:c6:3e:4f, 2015-01-01 01:02:23.740, 0.011, 0.007, -0.98, 0, 0, -0.183, , , , , , , 179.769, -0.791, -129.139, -78.300, 13.100, -69.807, 20.44, 0.00638, 0.42935, -0.90305, -0.00119, 405, 100,
 19:44:24.517,e8:da:bf:c6:3e:4f, 2015-01-01 01:02:23.740, 0.012, 0.007, -0.981, 0, 0, -0.183, , , , , , , 179.769, -0.791, -129.139, -78.300, 13.100, -69.807, 20.44, 0.00641, 0.42917, -0.90314, -0.00116, 405, 100,
 19:44:24.517,e8:da:bf:c6:3e:4f, 2015-01-01 01:02:23.740, 0.015, 0.008, -0.981, 0, -0.061, -0.183, , , , , , , 179.769, -0.791, -129.139, -78.300, 13.100, -69.807, 20.44, 0.00641, 0.42917, -0.90314, -0.00116, 405, 100,
 19:44:24.517,e8:da:bf:c6:3e:4f, 2015-01-01 01:02:23.740, 0.021, 0.007, -0.979, 0, 0.61, -0.061, , , , , , , 179.769, -0.791, -129.139, -78.300, 13.100, -69.807, 20.44, 0.00641, 0.42917, -0.90314, -0.00116, 405, 100,
 19:44:24.533,e8:da:bf:c6:3e:4f, 2015-01-01 01:02:23.740, 0.072, 0.005, -0.977, 0, 1.282, 2.258, , , , , , , 179.769, -0.791, -129.139, -78.300, 13.100, -69.807, 20.44, 0.00641, 0.42917, -0.90314, -0.00116, 405, 100,
 19:44:24.533,e8:da:bf:c6:3e:4f, 2015-01-01 01:02:23.740, 0.327, 0.002, -0.978, 0.244, 0.61, 6.775, , , , , , , 179.769, -0.802, -129.194, -78.300, 13.100, -69.807, 20.44, 0.00641, 0.42917, -0.90314, -0.00116, 405, 100,
 19:44:24.533,e8:da:bf:c6:3e:4f, 2015-01-01 01:02:23.740, 0.358, 0.018, -0.987, 0.061, -0.305, -3.418, , , , , , , 179.775, -0.807, -129.221, -78.300, 13.100, -69.807, 20.44, 0.00641, 0.42917, -0.90314, -0.00116, 405, 100,
 19:44:24.533,e8:da:bf:c6:3e:4f, 2015-01-01 01:02:23.740, 0.136, 0.022, -0.992, -0.305, -1.16, -15.808, , , , , , , 179.769, -0.791, -129.1, -78.300, 13.100, -69.807, 20.44, 0.00641, 0.42917, -0.90314, -0.00116, 405, 100,
 19:44:24.565,e8:da:bf:c6:3e:4f, 2015-01-01 01:02:24.065, 0.016, 0.009, -0.982, -0.061, -0.977, -13.428, , , , , , , 179.764, -0.78, -128.958, -78.300, 13.100, -69.807, 20.44, 0.00641, 0.42917, -0.90314, -0.00116, 405, 100,
 19:44:24.565,e8:da:bf:c6:3e:4f, 2015-01-01 01:02:24.065, -0.04, 0.004, -0.973, 0, -0.488, -13.428, , , , , , , 179.764, -0.775, -128.826, -78.300, 13.100, -69.807, 20.44, 0.00641, 0.42917, -0.90314, -0.00116, 405, 100,
 19:44:24.565,e8:da:bf:c6:3e:4f, 2015-01-01 01:02:24.065, -0.071, 0.003, -0.972, 0.061, 0, -13.306, , , , , , , 179.764, -0.769, -128.694, -78.300, 13.100, -69.807, 20.44, 0.00641, 0.42917, -0.90314, -0.00116, 405, 100,
 19:44:24.565,e8:da:bf:c6:3e:4f, 2015-01-01 01:02:24.065, -0.074, 0.002, -0.979, 0.061, -0.122, -11.169, , , , , , , 179.764, -0.769, -128.573, -78.300, 13.100, -69.807, 20.44, 0.00641, 0.42917, -0.90314, -0.00116, 405, 100,
